;1;10854
;2;10207
;3;10207
;4;10207
;5;6393
;6;72021
;7;8289
;8;6877
;9;8285
;10;6877
;11;10207
;12;10207
;13;6877
;14;6877
;15;10822
;16;20537
;17;14474
;18;7915
;19;13278
;20;8285
;21;6877
;22;6877
;23;6877
;24;6877
;25;8161
;26;8161
;27;13278
;28;6393
;29;10207
;30;10207
;31;10207
;32;10207
;33;10822
;34;10822
;35;10822
;36;10207
;37;8285
;38;7303
;39;6607
;40;13278
;41;12209
;42;13670
;43;72851
;44;13670
;45;1873
;46;7896
;47;6877
;48;8285
;49;10207
;50;6877
;51;14305
;52;14378
;53;14378
;54;10207
;55;13391
;56;8285
;57;6877
;58;14688
;59;14644
;60;10822
;61;6604
;62;8328
;63;10206
;64;655
;65;72782
;66;72782
;67;8289
;68;9417
;69;14643
;70;14375
;71;6877
;72;6877
;73;8285
;74;8285
;75;8285
;76;8285
;77;6877
;78;6877
;79;8289
;80;9295
;81;13260
;82;7896
;83;7896
;84;7551
;85;13169
;86;6607
;87;6599
;88;6525
;89;7306
;90;10822
;91;10822
;92;10216
;93;14643
;94;6877
;95;6607
;96;13268
;97;6599
;98;13243
;99;3426
;100;12209
;101;12209
;102;14379
;103;10207
;104;6877
;105;6877
;106;7322
;107;7303
;108;6599
;109;9966
;110;72834
;111;19472
;112;6914
;113;6605
;114;10626
;115;10626
;116;7786
;117;21407
;118;72780
;119;7896
;120;6605
;121;6877
;122;8289
;123;6877
;124;6877
;125;6877
;126;6877
;127;13250
;128;10207
;129;14643
;130;14375
;131;6877
;132;13254
;133;14305
;134;14305
;135;14305
;136;14305
;137;8289
;138;8289
;139;6877
;140;7915
;141;13303
;142;489
;143;7322
;144;13362
;145;6390
;146;7786
;147;11721
;148;13303
;149;6877
;150;8285
;151;10822
;152;10822
;153;72059
;154;10822
;155;9417
;156;6877
;157;8285
;158;8285
;159;8285
;160;8633
;161;12209
;162;4239
;163;7827
;164;72791
;165;72791
;166;686
;167;7322
;168;6393
;169;9417
;170;9417
;171;9417
;172;9417
;173;9417
;174;9417
;175;9417
;176;9417
;177;9417
;178;9417
;179;14305
;180;14600
;181;14600
;182;14600
;183;14600
;184;14643
;185;14643
;186;72167
;187;13174
;188;72791
